nm,INT
500.0,36
500.1,35
500.2,34
500.3,33
500.4,32
500.5,31
500.6,30
500.7,29
500.8,28
500.9,26
501.0,25
501.1,24
501.2,23
501.3,22
501.4,21
501.5,20
501.6,19
501.7,18
501.8,17
501.9,17
502.0,16
502.1,16
502.2,15
502.3,15
502.4,14
502.5,14
502.6,14
502.7,13
502.8,13
502.9,13
503.0,13
503.1,12
503.2,12
503.3,12
503.4,11
503.5,11
503.6,11
503.7,10
503.8,10
503.9,10
504.0,9
504.1,9
504.2,9
504.3,8
504.4,8
504.5,7
504.6,7
504.7,7
504.8,6
504.9,6
505.0,5
505.1,5
505.2,4
505.3,4
505.4,3
505.5,3
505.6,2
505.7,2
505.8,2
505.9,1
506.0,1
506.1,1
506.2,0
506.3,0
506.4,0
506.5,0
506.6,0
506.7,0
506.8,0
506.9,0
507.0,1
507.1,1
507.2,2
507.3,2
507.4,3
507.5,4
507.6,5
507.7,6
507.8,8
507.9,10
508.0,11
508.1,13
508.2,15
508.3,18
508.4,20
508.5,22
508.6,25
508.7,28
508.8,30
508.9,33
509.0,36
509.1,39
509.2,42
509.3,45
509.4,48
509.5,51
509.6,55
509.7,58
509.8,61
509.9,65
510.0,69
510.1,72
510.2,76
510.3,80
510.4,84
510.5,87
510.6,91
510.7,94
510.8,98
510.9,101
511.0,105
511.1,109
511.2,112
511.3,115
511.4,119
511.5,123
511.6,126
511.7,129
511.8,133
511.9,136
512.0,139
512.1,142
512.2,145
512.3,148
512.4,150
512.5,153
512.6,155
512.7,156
512.8,158
512.9,159
513.0,161
513.1,162
513.2,162
513.3,163
513.4,163
513.5,164
513.6,164
513.7,165
513.8,165
513.9,166
514.0,166
514.1,166
514.2,167
514.3,167
514.4,167
514.5,167
514.6,167
514.7,167
514.8,167
514.9,167
515.0,166
515.1,166
515.2,165
515.3,165
515.4,165
515.5,165
515.6,164
515.7,164
515.8,164
515.9,164
516.0,164
516.1,163
516.2,163
516.3,163
516.4,163
516.5,162
516.6,162
516.7,162
516.8,162
516.9,162
517.0,162
517.1,162
517.2,162
517.3,162
517.4,162
517.5,163
517.6,163
517.7,164
517.8,164
517.9,165
518.0,166
518.1,168
518.2,169
518.3,170
518.4,172
518.5,173
518.6,175
518.7,177
518.8,179
518.9,180
519.0,182
519.1,185
519.2,187
519.3,190
519.4,194
519.5,197
519.6,202
519.7,207
519.8,212
519.9,218
520.0,223
520.1,230
520.2,236
520.3,243
520.4,250
520.5,258
520.6,265
520.7,273
520.8,281
520.9,290
521.0,300
521.1,309
521.2,319
521.3,330
521.4,341
521.5,352
521.6,364
521.7,376
521.8,388
521.9,401
522.0,413
522.1,426
522.2,440
522.3,454
522.4,468
522.5,483
522.6,498
522.7,513
522.8,529
522.9,544
523.0,560
523.1,576
523.2,592
523.3,609
523.4,625
523.5,642
523.6,657
523.7,674
523.8,690
523.9,707
524.0,724
524.1,741
524.2,757
524.3,774
524.4,790
524.5,807
524.6,823
524.7,838
524.8,854
524.9,870
525.0,885
525.1,901
525.2,916
525.3,932
525.4,948
525.5,964
525.6,980
525.7,996
525.8,1012
525.9,1028
526.0,1043
526.1,1059
526.2,1074
526.3,1089
526.4,1103
526.5,1118
526.6,1132
526.7,1145
526.8,1158
526.9,1172
527.0,1185
527.1,1199
527.2,1212
527.3,1225
527.4,1239
527.5,1252
527.6,1265
527.7,1278
527.8,1292
527.9,1306
528.0,1320
528.1,1334
528.2,1348
528.3,1361
528.4,1376
528.5,1391
528.6,1406
528.7,1421
528.8,1436
528.9,1452
529.0,1467
529.1,1484
529.2,1500
529.3,1516
529.4,1533
529.5,1550
529.6,1567
529.7,1585
529.8,1603
529.9,1620
530.0,1639
530.1,1658
530.2,1677
530.3,1697
530.4,1717
530.5,1737
530.6,1757
530.7,1777
530.8,1798
530.9,1819
531.0,1840
531.1,1862
531.2,1883
531.3,1905
531.4,1926
531.5,1948
531.6,1971
531.7,1993
531.8,2016
531.9,2039
532.0,2062
532.1,2085
532.2,2108
532.3,2132
532.4,2155
532.5,2178
532.6,2201
532.7,2224
532.8,2246
532.9,2267
533.0,2290
533.1,2312
533.2,2335
533.3,2356
533.4,2378
533.5,2399
533.6,2421
533.7,2442
533.8,2464
533.9,2486
534.0,2508
534.1,2531
534.2,2553
534.3,2576
534.4,2599
534.5,2621
534.6,2645
534.7,2668
534.8,2692
534.9,2716
535.0,2740
535.1,2764
535.2,2787
535.3,2811
535.4,2835
535.5,2859
535.6,2884
535.7,2908
535.8,2932
535.9,2957
536.0,2980
536.1,3004
536.2,3030
536.3,3055
536.4,3081
536.5,3107
536.6,3135
536.7,3162
536.8,3190
536.9,3219
537.0,3248
537.1,3278
537.2,3308
537.3,3339
537.4,3371
537.5,3403
537.6,3432
537.7,3463
537.8,3496
537.9,3529
538.0,3561
538.1,3594
538.2,3628
538.3,3661
538.4,3696
538.5,3732
538.6,3766
538.7,3802
538.8,3838
538.9,3874
539.0,3912
539.1,3948
539.2,3983
539.3,4020
539.4,4057
539.5,4095
539.6,4134
539.7,4174
539.8,4213
539.9,4252
540.0,4293
540.1,4335
540.2,4377
540.3,4419
540.4,4461
540.5,4504
540.6,4547
540.7,4589
540.8,4632
540.9,4677
541.0,4721
541.1,4767
541.2,4812
541.3,4859
541.4,4907
541.5,4954
541.6,5001
541.7,5048
541.8,5096
541.9,5144
542.0,5193
542.1,5240
542.2,5285
542.3,5332
542.4,5382
542.5,5431
542.6,5480
542.7,5530
542.8,5580
542.9,5630
543.0,5681
543.1,5733
543.2,5786
543.3,5838
543.4,5891
543.5,5943
543.6,5998
543.7,6049
543.8,6099
543.9,6151
544.0,6203
544.1,6256
544.2,6310
544.3,6365
544.4,6418
544.5,6471
544.6,6524
544.7,6576
544.8,6631
544.9,6685
545.0,6738
545.1,6791
545.2,6844
545.3,6894
545.4,6946
545.5,7001
545.6,7055
545.7,7109
545.8,7163
545.9,7221
546.0,7278
546.1,7335
546.2,7392
546.3,7451
546.4,7510
546.5,7569
546.6,7631
546.7,7694
546.8,7755
546.9,7816
547.0,7879
547.1,7944
547.2,8009
547.3,8073
547.4,8139
547.5,8205
547.6,8273
547.7,8343
547.8,8415
547.9,8489
548.0,8563
548.1,8637
548.2,8714
548.3,8797
548.4,8881
548.5,8964
548.6,9046
548.7,9130
548.8,9216
548.9,9303
549.0,9395
549.1,9487
549.2,9579
549.3,9672
549.4,9767
549.5,9863
549.6,9962
549.7,10063
549.8,10162
549.9,10263
550.0,10366
550.1,10471
550.2,10580
550.3,10692
550.4,10803
550.5,10917
550.6,11032
550.7,11150
550.8,11272
550.9,11395
551.0,11517
551.1,11640
551.2,11765
551.3,11890
551.4,12018
551.5,12148
551.6,12275
551.7,12404
551.8,12533
551.9,12664
552.0,12799
552.1,12935
552.2,13069
552.3,13203
552.4,13338
552.5,13474
552.6,13614
552.7,13759
552.8,13906
552.9,14044
553.0,14183
553.1,14322
553.2,14463
553.3,14607
553.4,14752
553.5,14894
553.6,15037
553.7,15180
553.8,15323
553.9,15470
554.0,15618
554.1,15763
554.2,15908
554.3,16054
554.4,16206
