nm,INT
350.0,107389
350.1,107331
350.2,107269
350.3,107159
350.4,107020
350.5,106952
350.6,106887
350.7,106816
350.8,106694
350.9,106542
351.0,106457
351.1,106374
351.2,106284
351.3,106146
351.4,105980
351.5,105881
351.6,105788
351.7,105686
351.8,105536
351.9,105359
352.0,105249
352.1,105146
352.2,105035
352.3,104876
352.4,104690
352.5,104569
352.6,104455
352.7,104332
352.8,104163
352.9,103967
353.0,103835
353.1,103710
353.2,103575
353.3,103393
353.4,103184
353.5,103038
353.6,102899
353.7,102748
353.8,102549
353.9,102323
354.0,102160
354.1,102007
354.2,101843
354.3,101632
354.4,101395
354.5,101220
354.6,101057
354.7,100883
354.8,100664
354.9,100419
355.0,100240
355.1,100074
355.2,99897
355.3,99674
355.4,99427
355.5,99246
355.6,99079
355.7,98902
355.8,98681
355.9,98436
356.0,98256
356.1,98089
356.2,97913
356.3,97691
356.4,97445
356.5,97264
356.6,97096
356.7,96918
356.8,96695
356.9,96448
357.0,96263
357.1,96091
357.2,95906
357.3,95673
357.4,95412
357.5,95213
357.6,95024
357.7,94821
357.8,94569
357.9,94291
358.0,94071
358.1,93865
358.2,93646
358.3,93383
358.4,93096
358.5,92868
358.6,92655
358.7,92428
358.8,92158
358.9,91867
359.0,91631
359.1,91411
359.2,91175
359.3,90898
359.4,90599
359.5,90350
359.6,90119
359.7,89874
359.8,89590
359.9,89285
360.0,89030
360.1,88793
360.2,88539
360.3,88246
360.4,87934
360.5,87669
360.6,87423
360.7,87163
360.8,86868
360.9,86555
361.0,86288
361.1,86043
361.2,85785
361.3,85497
361.4,85195
361.5,84939
361.6,84704
361.7,84457
361.8,84179
361.9,83886
362.0,83638
362.1,83411
362.2,83173
362.3,82906
362.4,82626
362.5,82392
362.6,82180
362.7,81958
362.8,81709
362.9,81447
363.0,81232
363.1,81039
363.2,80837
363.3,80606
363.4,80361
363.5,80160
363.6,79977
363.7,79785
363.8,79566
363.9,79335
364.0,79149
364.1,78980
364.2,78804
364.3,78602
364.4,78388
364.5,78219
364.6,78067
364.7,77909
364.8,77728
364.9,77535
365.0,77384
365.1,77248
365.2,77107
365.3,76944
365.4,76771
365.5,76641
365.6,76526
365.7,76408
365.8,76267
365.9,76115
366.0,76006
366.1,75909
366.2,75811
366.3,75691
366.4,75561
366.5,75470
366.6,75390
366.7,75309
366.8,75208
366.9,75099
367.0,75027
367.1,74964
367.2,74900
367.3,74818
367.4,74728
367.5,74672
367.6,74623
367.7,74574
367.8,74506
367.9,74428
368.0,74384
368.1,74344
368.2,74303
368.3,74244
368.4,74178
368.5,74143
368.6,74113
368.7,74084
368.8,74041
368.9,73990
369.0,73969
369.1,73951
369.2,73935
369.3,73904
369.4,73866
369.5,73854
369.6,73844
369.7,73832
369.8,73807
369.9,73773
370.0,73760
370.1,73746
370.2,73731
370.3,73703
370.4,73669
370.5,73652
370.6,73637
370.7,73622
370.8,73595
370.9,73562
371.0,73547
371.1,73534
371.2,73521
371.3,73496
371.4,73466
371.5,73453
371.6,73441
371.7,73430
371.8,73409
371.9,73383
372.0,73371
372.1,73362
372.2,73352
372.3,73334
372.4,73311
372.5,73302
372.6,73294
372.7,73286
372.8,73271
372.9,73250
373.0,73243
373.1,73237
373.2,73233
373.3,73221
373.4,73206
373.5,73205
373.6,73206
373.7,73207
373.8,73202
373.9,73194
374.0,73199
374.1,73205
374.2,73212
374.3,73211
374.4,73207
374.5,73218
374.6,73229
374.7,73243
374.8,73252
374.9,73257
375.0,73277
375.1,73300
375.2,73323
375.3,73342
375.4,73360
375.5,73389
375.6,73415
375.7,73444
375.8,73466
375.9,73487
376.0,73515
376.1,73545
376.2,73575
376.3,73599
376.4,73623
376.5,73653
376.6,73687
376.7,73723
376.8,73750
376.9,73780
377.0,73817
377.1,73853
377.2,73888
377.3,73926
377.4,73961
377.5,73996
377.6,74035
377.7,74079
377.8,74122
377.9,74160
378.0,74202
378.1,74252
378.2,74304
378.3,74354
378.4,74403
378.5,74457
378.6,74514
378.7,74573
378.8,74627
378.9,74687
379.0,74743
379.1,74798
379.2,74855
379.3,74919
379.4,74983
379.5,75040
379.6,75098
379.7,75164
379.8,75232
379.9,75296
380.0,75367
380.1,75437
380.2,75505
380.3,75576
380.4,75656
380.5,75737
380.6,75812
380.7,75888
380.8,75978
380.9,76070
381.0,76164
381.1,76245
381.2,76330
381.3,76428
381.4,76527
381.5,76622
381.6,76721
381.7,76815
381.8,76902
381.9,76994
382.0,77094
382.1,77193
382.2,77280
382.3,77363
382.4,77462
382.5,77562
382.6,77655
382.7,77744
382.8,77839
382.9,77947
383.0,78058
383.1,78164
383.2,78279
383.3,78391
383.4,78500
383.5,78616
383.6,78745
383.7,78875
383.8,78991
383.9,79105
384.0,79238
384.1,79372
384.2,79499
384.3,79622
384.4,79751
384.5,79891
384.6,80026
384.7,80174
384.8,80314
384.9,80455
385.0,80603
385.1,80763
385.2,80928
385.3,81095
385.4,81249
385.5,81403
385.6,81578
385.7,81756
385.8,81923
385.9,82090
386.0,82263
386.1,82446
386.2,82619
386.3,82807
386.4,82984
386.5,83158
386.6,83335
386.7,83525
386.8,83717
386.9,83883
387.0,84061
387.1,84255
387.2,84450
387.3,84633
387.4,84830
387.5,85020
387.6,85211
387.7,85411
387.8,85599
387.9,85799
388.0,85998
388.1,86178
388.2,86344
388.3,86532
388.4,86715
388.5,86882
388.6,87040
388.7,87198
388.8,87364
388.9,87515
389.0,87673
389.1,87820
389.2,87961
389.3,88106
389.4,88258
389.5,88407
389.6,88532
389.7,88656
389.8,88794
389.9,88929
390.0,89059
390.1,89176
390.2,89283
390.3,89385
390.4,89496
390.5,89593
390.6,89694
390.7,89780
390.8,89860
390.9,89945
391.0,90032
391.1,90116
391.2,90180
391.3,90244
391.4,90321
391.5,90397
391.6,90468
391.7,90543
391.8,90609
391.9,90669
392.0,90742
392.1,90821
392.2,90900
392.3,90966
392.4,91030
392.5,91105
392.6,91187
392.7,91269
392.8,91331
392.9,91397
393.0,91481
393.1,91566
393.2,91649
393.3,91724
393.4,91809
393.5,91908
393.6,92004
393.7,92113
393.8,92226
393.9,92326
394.0,92427
394.1,92552
394.2,92680
394.3,92811
394.4,92922
394.5,93038
394.6,93177
394.7,93319
394.8,93455
394.9,93583
395.0,93723
395.1,93876
395.2,94024
395.3,94189
395.4,94358
395.5,94508
395.6,94657
395.7,94836
395.8,95019
395.9,95193
396.0,95359
396.1,95534
396.2,95723
396.3,95902
396.4,96099
396.5,96299
396.6,96487
396.7,96667
396.8,96856
396.9,97064
397.0,97274
397.1,97458
397.2,97638
397.3,97854
397.4,98071
397.5,98274
397.6,98466
397.7,98667
397.8,98885
397.9,99092
398.0,99315
398.1,99540
398.2,99740
398.3,99925
398.4,100149
398.5,100372
398.6,100581
398.7,100777
398.8,100973
398.9,101195
399.0,101417
399.1,101625
399.2,101818
399.3,102020
399.4,102244
399.5,102456
399.6,102686
399.7,102920
399.8,103125
399.9,103312
400.0,103548
400.1,103786
400.2,104010
400.3,104212
400.4,104413
400.5,104650
400.6,104888
400.7,105109
400.8,105306
400.9,105511
401.0,105752
401.1,105995
401.2,106222
401.3,106419
401.4,106636
401.5,106888
401.6,107141
401.7,107380
401.8,107638
401.9,107856
402.0,108076
402.1,108339
402.2,108588
402.3,108859
402.4,109073
402.5,109307
402.6,109580
402.7,109840
402.8,110124
402.9,110411
403.0,110642
403.1,110867
403.2,111144
403.3,111445
403.4,111752
403.5,112063
403.6,112315
403.7,112533
403.8,112857
403.9,113187
404.0,113521
404.1,113777
404.2,114021
404.3,114365
404.4,114714
404.5,115065
404.6,115313
404.7,115577
404.8,115930
404.9,116286
405.0,116644
405.1,116982
405.2,117257
405.3,117518
405.4,117883
405.5,118253
405.6,118601
405.7,118875
405.8,119164
405.9,119549
406.0,119939
406.1,120302
406.2,120691
406.3,121011
406.4,121291
406.5,121668
406.6,122080
406.7,122493
406.8,122804
406.9,123104
407.0,123493
407.1,123913
407.2,124336
407.3,124635
407.4,124953
407.5,125352
407.6,125777
407.7,126204
407.8,126631
407.9,126938
408.0,127224
408.1,127654
408.2,128085
408.3,128518
408.4,128807
408.5,129117
408.6,129552
408.7,129989
408.8,130430
408.9,130707
409.0,131049
409.1,131497
409.2,131948
409.3,132400
409.4,132823
409.5,133153
409.6,133500
409.7,133959
409.8,134420
409.9,134845
410.0,135295
410.1,135669
410.2,136007
410.3,136465
410.4,136891
410.5,137344
410.6,137708
410.7,138071
410.8,138524
410.9,138948
411.0,139402
411.1,139859
411.2,140245
411.3,140594
411.4,141021
411.5,141484
411.6,141948
411.7,142343
411.8,142728
411.9,143171
412.0,143650
412.1,144134
412.2,144619
412.3,145046
412.4,145439
412.5,145930
412.6,146423
412.7,146884
412.8,147328
412.9,147778
413.0,148269
413.1,148755
413.2,149203
413.3,149652
413.4,150115
413.5,150593
413.6,151069
413.7,151501
413.8,151962
413.9,152431
414.0,152894
414.1,153350
414.2,153769
414.3,154214
414.4,154694
414.5,155173
414.6,155615
414.7,156027
414.8,156466
414.9,156964
415.0,157444
415.1,157871
415.2,158272
415.3,158703
415.4,159128
415.5,159621
415.6,160096
415.7,160481
415.8,160888
415.9,161290
