nm,INT
500.0,73
500.1,73
500.2,72
500.3,72
500.4,71
500.5,70
500.6,69
500.7,68
500.8,67
500.9,66
501.0,65
501.1,64
501.2,62
501.3,61
501.4,59
501.5,58
501.6,56
501.7,55
501.8,53
501.9,52
502.0,51
502.1,50
502.2,48
502.3,47
502.4,46
502.5,45
502.6,44
502.7,43
502.8,42
502.9,40
503.0,39
503.1,38
503.2,37
503.3,36
503.4,35
503.5,33
503.6,32
503.7,30
503.8,29
503.9,28
504.0,26
504.1,24
504.2,23
504.3,21
504.4,20
504.5,18
504.6,17
504.7,16
504.8,14
504.9,13
505.0,12
505.1,10
505.2,9
505.3,8
505.4,7
505.5,6
505.6,6
505.7,5
505.8,4
505.9,4
506.0,3
506.1,3
506.2,3
506.3,3
506.4,3
506.5,3
506.6,3
506.7,2
506.8,2
506.9,2
507.0,2
507.1,2
507.2,2
507.3,2
507.4,2
507.5,2
507.6,2
507.7,2
507.8,2
507.9,2
508.0,2
508.1,2
508.2,2
508.3,2
508.4,2
508.5,2
508.6,2
508.7,2
508.8,2
508.9,2
509.0,2
509.1,2
509.2,1
509.3,1
509.4,1
509.5,1
509.6,1
509.7,1
509.8,0
509.9,0
510.0,0
510.1,0
510.2,0
510.3,0
510.4,0
510.5,0
510.6,0
510.7,0
510.8,0
510.9,0
511.0,0
511.1,0
511.2,0
511.3,0
511.4,0
511.5,0
511.6,0
511.7,0
511.8,0
511.9,0
512.0,0
512.1,0
512.2,0
512.3,0
512.4,0
512.5,0
512.6,0
512.7,0
512.8,0
512.9,0
513.0,0
513.1,0
513.2,0
513.3,0
513.4,0
513.5,0
513.6,0
513.7,0
513.8,0
513.9,0
514.0,0
514.1,0
514.2,0
514.3,0
514.4,0
514.5,0
514.6,0
514.7,0
514.8,0
514.9,1
515.0,1
515.1,1
515.2,1
515.3,1
515.4,1
515.5,1
515.6,1
515.7,1
515.8,1
515.9,1
516.0,1
516.1,1
516.2,1
516.3,1
516.4,1
516.5,1
516.6,1
516.7,2
516.8,2
516.9,2
517.0,2
517.1,2
517.2,2
517.3,3
517.4,3
517.5,3
517.6,3
517.7,3
517.8,3
517.9,3
518.0,3
518.1,3
518.2,3
518.3,3
518.4,4
518.5,5
518.6,6
518.7,7
518.8,8
518.9,9
519.0,10
519.1,11
519.2,12
519.3,13
519.4,14
519.5,15
519.6,15
519.7,16
519.8,16
519.9,16
520.0,16
520.1,16
520.2,16
520.3,16
520.4,17
520.5,17
520.6,18
520.7,19
520.8,20
520.9,21
521.0,23
521.1,24
521.2,26
521.3,27
521.4,28
521.5,29
521.6,30
521.7,31
521.8,31
521.9,31
522.0,32
522.1,32
522.2,32
522.3,32
522.4,32
522.5,32
522.6,32
522.7,33
522.8,33
522.9,34
523.0,35
523.1,36
523.2,37
523.3,38
523.4,39
523.5,40
523.6,41
523.7,42
523.8,43
523.9,44
524.0,45
524.1,45
524.2,46
524.3,47
524.4,49
524.5,50
524.6,52
524.7,55
524.8,57
524.9,60
525.0,63
525.1,67
525.2,70
525.3,74
525.4,77
525.5,81
525.6,85
525.7,89
525.8,93
525.9,97
526.0,101
526.1,105
526.2,110
526.3,115
526.4,120
526.5,126
526.6,132
526.7,138
526.8,144
526.9,151
527.0,157
527.1,165
527.2,172
527.3,180
527.4,187
527.5,195
527.6,203
527.7,211
527.8,219
527.9,228
528.0,236
528.1,245
528.2,253
528.3,261
528.4,270
528.5,280
528.6,289
528.7,299
528.8,309
528.9,319
529.0,330
529.1,341
529.2,353
529.3,365
529.4,376
529.5,388
529.6,400
529.7,411
529.8,423
529.9,434
530.0,445
530.1,457
530.2,468
530.3,480
530.4,491
530.5,502
530.6,514
530.7,525
530.8,537
530.9,548
531.0,560
531.1,572
531.2,583
531.3,594
531.4,605
531.5,615
531.6,626
531.7,637
531.8,648
531.9,659
532.0,670
532.1,681
532.2,692
532.3,703
532.4,714
532.5,725
532.6,736
532.7,746
532.8,756
532.9,765
533.0,775
533.1,785
