Created as New Dataset,Sample 383 By Administrator Date Thursday, March 07 2024
nm,INT
500.0,103
500.1,104
500.2,105
500.3,106
500.4,108
500.5,109
500.6,110
500.7,112
500.8,113
500.9,114
501.0,116
501.1,117
501.2,119
501.3,120
501.4,122
501.5,123
501.6,125
501.7,126
501.8,127
501.9,128
502.0,129
502.1,130
502.2,131
502.3,132
502.4,133
502.5,134
502.6,134
502.7,135
502.8,136
502.9,137
503.0,139
503.1,140
503.2,141
503.3,142
503.4,143
503.5,144
503.6,145
503.7,145
503.8,146
503.9,147
504.0,147
504.1,147
504.2,148
504.3,148
504.4,149
504.5,149
504.6,149
504.7,150
504.8,150
504.9,150
505.0,151
505.1,151
505.2,151
505.3,151
505.4,151
505.5,151
505.6,151
505.7,151
505.8,151
505.9,151
506.0,150
506.1,150
506.2,149
506.3,149
506.4,148
506.5,147
506.6,147
506.7,146
506.8,145
506.9,145
507.0,144
507.1,144
507.2,143
507.3,143
507.4,142
507.5,142
507.6,141
507.7,141
507.8,140
507.9,139
508.0,138
508.1,137
508.2,136
508.3,134
508.4,132
508.5,131
508.6,129
508.7,127
508.8,125
508.9,123
509.0,121
509.1,119
509.2,118
509.3,116
509.4,115
509.5,113
509.6,112
509.7,111
509.8,110
509.9,108
510.0,107
510.1,105
510.2,103
510.3,101
510.4,99
510.5,97
510.6,95
510.7,92
510.8,90
510.9,88
511.0,87
511.1,85
511.2,84
511.3,82
511.4,81
511.5,79
511.6,78
511.7,77
511.8,76
511.9,75
512.0,74
512.1,74
512.2,73
512.3,73
512.4,73
512.5,73
512.6,73
512.7,73
512.8,73
512.9,73
513.0,74
513.1,75
513.2,75
513.3,76
513.4,78
513.5,79
513.6,81
513.7,82
513.8,84
513.9,86
514.0,87
514.1,89
514.2,90
514.3,92
514.4,93
514.5,94
514.6,95
514.7,96
514.8,98
514.9,99
515.0,100
515.1,102
515.2,103
515.3,105
515.4,106
515.5,108
515.6,110
515.7,111
515.8,113
515.9,114
516.0,116
516.1,117
516.2,118
516.3,120
516.4,121
516.5,123
516.6,124
516.7,126
516.8,128
516.9,130
517.0,132
517.1,134
517.2,136
517.3,138
517.4,141
517.5,143
517.6,146
517.7,149
517.8,152
517.9,155
518.0,159
518.1,162
518.2,166
518.3,169
518.4,173
518.5,177
518.6,181
518.7,185
518.8,190
518.9,194
519.0,199
519.1,204
519.2,209
519.3,214
519.4,220
519.5,226
519.6,233
519.7,239
519.8,246
519.9,253
520.0,261
520.1,268
520.2,276
520.3,284
520.4,293
520.5,300
520.6,308
520.7,316
520.8,324
520.9,333
521.0,341
521.1,349
521.2,357
521.3,365
521.4,373
521.5,382
521.6,391
521.7,400
521.8,409
521.9,418
522.0,427
522.1,436
522.2,446
522.3,456
522.4,465
522.5,475
522.6,485
522.7,495
522.8,505
522.9,514
523.0,524
523.1,533
523.2,543
523.3,552
523.4,560
523.5,569
523.6,576
523.7,584
523.8,591
523.9,599
524.0,606
524.1,613
524.2,620
524.3,627
524.4,634
524.5,641
524.6,648
524.7,655
524.8,662
524.9,669
525.0,675
525.1,681
525.2,687
525.3,693
525.4,699
525.5,705
525.6,710
525.7,716
525.8,721
525.9,726
526.0,732
526.1,737
526.2,743
526.3,748
526.4,754
526.5,759
526.6,764
526.7,770
526.8,775
526.9,781
527.0,787
527.1,793
527.2,799
527.3,806
527.4,812
527.5,819
527.6,826
527.7,833
527.8,841
527.9,849
528.0,856
528.1,864
528.2,872
528.3,880
528.4,889
528.5,899
528.6,909
528.7,919
528.8,929
528.9,941
529.0,953
529.1,965
529.2,978
529.3,992
529.4,1005
529.5,1019
529.6,1034
529.7,1049
529.8,1064
529.9,1078
530.0,1094
530.1,1110
530.2,1127
530.3,1144
530.4,1162
530.5,1180
530.6,1198
530.7,1217
530.8,1236
530.9,1256
531.0,1276
531.1,1297
531.2,1317
531.3,1338
531.4,1358
531.5,1378
531.6,1399
531.7,1420
531.8,1441
531.9,1462
532.0,1483
532.1,1504
532.2,1525
532.3,1546
532.4,1566
532.5,1587
532.6,1607
532.7,1628
532.8,1648
532.9,1666
533.0,1686
533.1,1707
533.2,1728
533.3,1748
533.4,1769
533.5,1790
533.6,1810
533.7,1831
533.8,1851
533.9,1872
534.0,1892
534.1,1912
534.2,1932
534.3,1952
534.4,1970
534.5,1989
534.6,2008
534.7,2026
534.8,2045
534.9,2064
535.0,2082
535.1,2101
535.2,2119
535.3,2137
535.4,2155
535.5,2174
535.6,2193
535.7,2212
535.8,2231
535.9,2250
536.0,2268
536.1,2288
536.2,2308
536.3,2328
536.4,2348
536.5,2368
536.6,2389
536.7,2410
536.8,2430
536.9,2450
537.0,2471
537.1,2492
537.2,2512
537.3,2533
537.4,2555
537.5,2575
537.6,2594
537.7,2615
537.8,2636
537.9,2657
538.0,2677
538.1,2698
538.2,2718
538.3,2739
538.4,2760
538.5,2781
538.6,2802
538.7,2823
538.8,2844
538.9,2864
539.0,2886
539.1,2907
539.2,2926
539.3,2947
539.4,2968
539.5,2988
539.6,3010
539.7,3031
539.8,3052
539.9,3072
540.0,3093
540.1,3114
540.2,3135
540.3,3156
540.4,3177
540.5,3198
540.6,3219
540.7,3240
540.8,3260
540.9,3282
541.0,3304
541.1,3326
541.2,3348
541.3,3371
541.4,3394
541.5,3417
541.6,3440
541.7,3464
541.8,3487
541.9,3512
542.0,3537
542.1,3560
542.2,3583
542.3,3607
542.4,3634
542.5,3660
542.6,3686
542.7,3712
542.8,3739
542.9,3767
543.0,3794
543.1,3823
543.2,3852
543.3,3880
543.4,3909
543.5,3938
543.6,3967
543.7,3996
543.8,4023
543.9,4051
544.0,4079
544.1,4107
544.2,4136
