Created as New Dataset,Sample 383 By Administrator Date Thursday, March 07 2024
nm,INT
500.0,96
500.1,95
500.2,94
500.3,93
500.4,92
500.5,91
500.6,91
500.7,90
500.8,89
500.9,88
501.0,88
501.1,87
501.2,87
501.3,86
501.4,86
501.5,86
501.6,86
501.7,87
501.8,87
501.9,88
502.0,89
502.1,90
502.2,92
502.3,93
502.4,95
502.5,96
502.6,98
502.7,100
502.8,101
502.9,103
503.0,104
503.1,106
503.2,108
503.3,109
503.4,111
503.5,113
503.6,115
503.7,117
503.8,119
503.9,121
504.0,123
504.1,124
504.2,126
504.3,128
504.4,130
504.5,132
504.6,133
504.7,135
504.8,137
504.9,138
505.0,140
505.1,141
505.2,143
505.3,144
505.4,145
505.5,146
505.6,147
505.7,148
505.8,149
505.9,149
506.0,150
506.1,150
506.2,150
506.3,151
506.4,151
506.5,151
506.6,151
506.7,150
506.8,150
506.9,149
507.0,148
507.1,147
507.2,145
507.3,144
507.4,142
507.5,141
507.6,139
507.7,138
507.8,136
507.9,135
508.0,134
508.1,133
508.2,132
508.3,131
508.4,130
508.5,129
508.6,129
508.7,129
508.8,129
508.9,129
509.0,129
509.1,129
509.2,129
509.3,129
509.4,129
509.5,128
509.6,128
509.7,127
509.8,126
509.9,125
510.0,124
510.1,123
510.2,122
510.3,122
510.4,121
510.5,120
510.6,120
510.7,120
510.8,119
510.9,119
511.0,119
511.1,119
511.2,119
511.3,119
511.4,120
511.5,120
511.6,120
511.7,120
511.8,121
511.9,121
512.0,121
512.1,120
512.2,120
512.3,120
512.4,119
512.5,119
512.6,118
512.7,117
512.8,116
512.9,116
513.0,115
513.1,114
513.2,113
513.3,112
513.4,111
513.5,111
513.6,110
513.7,109
513.8,108
513.9,108
514.0,107
514.1,107
514.2,107
514.3,107
514.4,107
514.5,107
514.6,107
514.7,108
514.8,109
514.9,109
515.0,110
515.1,111
515.2,112
515.3,113
515.4,115
515.5,116
515.6,118
515.7,119
515.8,121
515.9,122
516.0,124
516.1,126
516.2,128
516.3,130
516.4,132
516.5,133
516.6,135
516.7,137
516.8,139
516.9,141
517.0,143
517.1,145
517.2,147
517.3,149
517.4,152
517.5,154
517.6,156
517.7,158
517.8,160
517.9,161
518.0,163
518.1,165
518.2,166
518.3,167
518.4,168
518.5,169
518.6,170
518.7,171
518.8,171
518.9,171
519.0,171
519.1,171
519.2,171
519.3,171
519.4,171
519.5,170
519.6,170
519.7,169
519.8,169
519.9,169
520.0,169
520.1,169
520.2,169
520.3,169
520.4,169
520.5,170
520.6,170
520.7,171
520.8,171
520.9,172
521.0,172
521.1,173
521.2,174
521.3,175
521.4,176
521.5,177
521.6,179
521.7,181
521.8,183
521.9,185
522.0,187
522.1,190
522.2,193
522.3,195
522.4,198
522.5,201
522.6,204
522.7,207
522.8,210
522.9,213
523.0,216
523.1,220
523.2,223
523.3,226
523.4,230
523.5,233
523.6,237
523.7,240
523.8,244
523.9,248
524.0,252
524.1,255
524.2,259
524.3,263
524.4,267
524.5,271
524.6,275
524.7,279
524.8,283
524.9,286
525.0,290
525.1,293
525.2,296
525.3,299
525.4,301
525.5,303
525.6,306
525.7,308
525.8,310
525.9,313
526.0,315
526.1,317
526.2,320
526.3,323
526.4,326
526.5,329
526.6,332
526.7,335
526.8,338
526.9,342
527.0,345
527.1,349
527.2,352
527.3,356
527.4,361
527.5,365
527.6,370
527.7,375
527.8,381
527.9,387
528.0,393
528.1,399
528.2,406
528.3,412
528.4,420
528.5,427
528.6,435
528.7,443
528.8,451
528.9,460
529.0,469
529.1,478
529.2,487
529.3,496
529.4,506
529.5,515
529.6,525
529.7,535
529.8,545
529.9,555
530.0,565
530.1,576
530.2,586
530.3,597
530.4,608
530.5,620
530.6,631
530.7,642
530.8,653
530.9,665
531.0,676
531.1,688
531.2,699
531.3,711
531.4,722
531.5,733
531.6,744
531.7,755
531.8,766
531.9,777
532.0,788
532.1,799
532.2,809
532.3,820
532.4,830
532.5,841
532.6,852
532.7,863
532.8,873
532.9,883
533.0,894
533.1,904
533.2,915
533.3,926
533.4,937
533.5,948
533.6,958
533.7,969
533.8,980
533.9,991
534.0,1002
534.1,1013
534.2,1025
534.3,1036
534.4,1047
534.5,1058
534.6,1069
534.7,1080
534.8,1092
534.9,1103
535.0,1115
535.1,1127
535.2,1139
535.3,1150
535.4,1162
535.5,1175
535.6,1187
535.7,1200
535.8,1213
535.9,1225
536.0,1237
536.1,1250
536.2,1263
536.3,1276
536.4,1289
536.5,1302
536.6,1315
536.7,1328
536.8,1341
536.9,1354
537.0,1368
537.1,1381
537.2,1394
537.3,1407
537.4,1420
537.5,1433
537.6,1445
537.7,1458
537.8,1471
537.9,1484
538.0,1497
538.1,1509
538.2,1521
538.3,1532
538.4,1544
538.5,1555
538.6,1565
538.7,1575
538.8,1585
538.9,1595
539.0,1604
539.1,1613
539.2,1621
539.3,1630
539.4,1639
539.5,1648
539.6,1658
539.7,1667
539.8,1677
539.9,1687
540.0,1698
540.1,1708
540.2,1720
540.3,1731
540.4,1742
540.5,1753
540.6,1765
540.7,1776
540.8,1787
540.9,1798
541.0,1810
541.1,1821
541.2,1833
541.3,1845
541.4,1857
541.5,1870
541.6,1882
541.7,1894
541.8,1907
541.9,1920
542.0,1934
542.1,1948
542.2,1961
542.3,1975
542.4,1990
542.5,2005
542.6,2021
542.7,2036
542.8,2051
542.9,2067
543.0,2083
543.1,2099
543.2,2115
543.3,2131
543.4,2147
543.5,2162
543.6,2179
543.7,2194
543.8,2209
543.9,2226
544.0,2242
544.1,2259
544.2,2277
544.3,2294
544.4,2312
544.5,2329
544.6,2347
544.7,2366
544.8,2385
544.9,2404
545.0,2423
545.1,2442
545.2,2461
545.3,2479
545.4,2498
545.5,2519
545.6,2539
545.7,2559
545.8,2579
545.9,2600
546.0,2620
546.1,2640
546.2,2661
546.3,2681
546.4,2701
546.5,2722
546.6,2743
546.7,2764
546.8,2785
546.9,2806
547.0,2827
547.1,2849
547.2,2871
547.3,2892
547.4,2914
547.5,2935
547.6,2957
547.7,2979
547.8,3002
547.9,3025
548.0,3048
548.1,3070
548.2,3093
548.3,3118
548.4,3144
548.5,3169
548.6,3193
548.7,3218
548.8,3243
548.9,3269
549.0,3296
549.1,3324
549.2,3351
549.3,3379
549.4,3406
549.5,3434
549.6,3464
549.7,3493
549.8,3521
549.9,3550
550.0,3578
550.1,3607
550.2,3637
550.3,3667
550.4,3696
550.5,3725
550.6,3755
550.7,3786
550.8,3817
550.9,3849
551.0,3881
551.1,3913
551.2,3945
551.3,3978
551.4,4013
551.5,4048
551.6,4083
551.7,4118
551.8,4153
551.9,4189
552.0,4226
552.1,4262
552.2,4298
552.3,4334
552.4,4370
552.5,4406
552.6,4443
552.7,4481
552.8,4520
552.9,4558
553.0,4595
553.1,4634
553.2,4673
553.3,4713
553.4,4755
553.5,4796
553.6,4837
553.7,4879
553.8,4921
553.9,4965
554.0,5009
554.1,5052
554.2,5095
554.3,5139
554.4,5184
554.5,5229
554.6,5274
554.7,5319
554.8,5364
554.9,5409
555.0,5455
555.1,5503
555.2,5552
555.3,5600
555.4,5648
555.5,5697
555.6,5749
555.7,5802
555.8,5854
555.9,5907
556.0,5961
556.1,6016
556.2,6071
556.3,6129
556.4,6187
556.5,6244
556.6,6301
556.7,6360
556.8,6419
556.9,6480
557.0,6543
557.1,6605
557.2,6673
557.3,6737
557.4,6802
557.5,6871
557.6,6940
557.7,7009
557.8,7078
557.9,7148
558.0,7219
558.1,7292
558.2,7366
558.3,7438
558.4,7511
558.5,7584
558.6,7658
558.7,7735
558.8,7811
558.9,7886
559.0,7962
559.1,8038
559.2,8114
559.3,8192
559.4,8271
559.5,8349
559.6,8426
559.7,8504
559.8,8583
559.9,8665
560.0,8747
560.1,8828
560.2,8908
560.3,8990
560.4,9072
560.5,9156
560.6,9242
560.7,9324
560.8,9407
560.9,9491
561.0,9575
561.1,9662
561.2,9749
561.3,9835
561.4,9921
561.5,10008
561.6,10102
561.7,10192
561.8,10283
561.9,10376
562.0,10466
562.1,10556
562.2,10646
562.3,10737
562.4,10831
562.5,10926
562.6,11018
562.7,11110
562.8,11203
562.9,11300
563.0,11397
563.1,11492
563.2,11587
563.3,11682
563.4,11778
563.5,11874
563.6,11974
563.7,12076
563.8,12175
563.9,12274
564.0,12374
564.1,12479
564.2,12583
564.3,12685
564.4,12788
564.5,12892
564.6,12996
564.7,13101
564.8,13208
564.9,13317
565.0,13421
565.1,13525
565.2,13629
565.3,13733
565.4,13839
565.5,13946
565.6,14049
565.7,14151
565.8,14252
565.9,14360
566.0,14468
566.1,14573
566.2,14673
566.3,14773
566.4,14873
566.5,14972
566.6,15075
566.7,15178
566.8,15277
566.9,15376
567.0,15475
567.1,15574
567.2,15677
567.3,15779
567.4,15877
567.5,15975
567.6,16073
567.7,16171
567.8,16273
567.9,16375
568.0,16472
568.1,16570
568.2,16669
568.3,16767
568.4,16870
568.5,16973
568.6,17073
568.7,17173
568.8,17274
568.9,17376
569.0,17483
569.1,17591
569.2,17696
569.3,17801
569.4,17907
569.5,18015
569.6,18127
569.7,18240
569.8,18350
569.9,18460
570.0,18572
570.1,18684
570.2,18802
570.3,18924
570.4,19045
570.5,19160
570.6,19276
570.7,19393
570.8,19510
570.9,19632
571.0,19756
571.1,19875
571.2,19995
571.3,20115
571.4,20241
571.5,20366
571.6,20488
571.7,20609
571.8,20731
571.9,20854
572.0,20977
572.1,21104
572.2,21233
572.3,21357
572.4,21482
572.5,21607
572.6,21738
572.7,21869
572.8,21995
572.9,22121
573.0,22247
573.1,22373
573.2,22499
573.3,22629
573.4,22761
573.5,22887
573.6,23012
573.7,23137
573.8,23260
573.9,23388
574.0,23516
574.1,23638
574.2,23760
574.3,23882
574.4,24009
574.5,24135
574.6,24257
574.7,24380
574.8,24514
574.9,24638
575.0,24763
575.1,24894
575.2,25025
575.3,25152
575.4,25279
575.5,25407
575.6,25535
575.7,25668
575.8,25802
575.9,25931
576.0,26060
576.1,26188
576.2,26318
576.3,26453
576.4,26590
576.5,26722
576.6,26855
576.7,26989
576.8,27124
576.9,27265
577.0,27408
577.1,27543
577.2,27670
577.3,27808
577.4,27947
577.5,28087
577.6,28228
577.7,28370
577.8,28501
577.9,28649
578.0,28793
578.1,28929
578.2,29074
578.3,29208
578.4,29358
578.5,29510
578.6,29652
578.7,29787
578.8,29932
578.9,30079
579.0,30226
579.1,30374
579.2,30522
579.3,30683
579.4,30831
579.5,30980
579.6,31138
579.7,31301
579.8,31462
579.9,31613
580.0,31765
580.1,31917
580.2,32080
580.3,32249
580.4,32413
580.5,32569
580.6,32725
580.7,32897
580.8,33056
580.9,33225
581.0,33392
581.1,33556
581.2,33728
581.3,33888
581.4,34049
581.5,34221
581.6,34399
581.7,34569
581.8,34731
581.9,34895
582.0,35073
582.1,35237
582.2,35400
582.3,35575
582.4,35756
582.5,35930
582.6,36094
582.7,36258
582.8,36423
582.9,36598
583.0,36779
583.1,36954
583.2,37120
583.3,37295
583.4,37457
583.5,37618
583.6,37794
583.7,37972
583.8,38141
583.9,38301
584.0,38461
584.1,38620
584.2,38790
584.3,38953
584.4,39123
584.5,39297
584.6,39456
584.7,39628
584.8,39785
584.9,39941
585.0,40110
585.1,40284
585.2,40448
585.3,40600
585.4,40752
585.5,40914
585.6,41065
585.7,41226
585.8,41386
585.9,41532
586.0,41685
586.1,41825
586.2,41964
586.3,42103
586.4,42260
586.5,42421
586.6,42558
586.7,42694
586.8,42830
586.9,42976
587.0,43115
587.1,43264
587.2,43420
587.3,43563
587.4,43695
587.5,43827
587.6,43959
587.7,44097
587.8,44248
587.9,44397
588.0,44527
588.1,44658
588.2,44798
588.3,44929
588.4,45075
588.5,45220
588.6,45350
588.7,45487
588.8,45613
588.9,45738
589.0,45863
589.1,46008
589.2,46158
589.3,46283
589.4,46408
589.5,46543
589.6,46667
589.7,46789
589.8,46927
589.9,47074
590.0,47205
590.1,47328
590.2,47451
590.3,47573
590.4,47722
590.5,47868
590.6,47993
590.7,48119
590.8,48246
590.9,48385
591.0,48515
591.1,48661
591.2,48811
591.3,48947
591.4,49075
591.5,49202
591.6,49328
591.7,49462
591.8,49610
591.9,49754
592.0,49880
592.1,50006
592.2,50145
592.3,50273
592.4,50422
592.5,50565
592.6,50696
592.7,50834
592.8,50963
592.9,51093
593.0,51234
593.1,51392
593.2,51541
593.3,51674
593.4,51810
593.5,51957
593.6,52093
593.7,52229
593.8,52384
593.9,52544
594.0,52686
594.1,52817
594.2,52946
594.3,53074
594.4,53209
594.5,53359
594.6,53503
594.7,53627
594.8,53749
594.9,53881
595.0,54003
595.1,54148
595.2,54291
595.3,54419
595.4,54539
595.5,54659
595.6,54778
595.7,54905
595.8,55028
595.9,55164
596.0,55307
596.1,55427
596.2,55556
596.3,55674
596.4,55792
596.5,55932
596.6,56075
596.7,56200
596.8,56317
596.9,56433
597.0,56559
597.1,56677
597.2,56814
597.3,56951
597.4,57069
597.5,57194
597.6,57311
597.7,57429
597.8,57547
597.9,57690
598.0,57838
598.1,57956
598.2,58074
598.3,58191
598.4,58318
598.5,58438
598.6,58573
598.7,58716
598.8,58834
598.9,58962
599.0,59080
599.1,59199
599.2,59325
599.3,59470
599.4,59617
599.5,59737
599.6,59859
599.7,59991
599.8,60115
599.9,60260
600.0,60405
600.1,60529
600.2,60660
600.3,60781
600.4,60902
600.5,61022
600.6,61167
600.7,61316
600.8,61432
600.9,61546
601.0,61667
601.1,61777
601.2,61884
601.3,62010
601.4,62145
601.5,62255
601.6,62356
601.7,62455
601.8,62553
601.9,62681
602.0,62803
602.1,62899
602.2,62993
602.3,63085
602.4,63181
602.5,63270
602.6,63379
602.7,63486
602.8,63568
602.9,63653
603.0,63731
603.1,63805
603.2,63882
603.3,63979
603.4,64072
603.5,64139
603.6,64205
603.7,64275
603.8,64339
603.9,64430
604.0,64510
604.1,64570
604.2,64632
604.3,64688
604.4,64743
604.5,64797
604.6,64880
604.7,64957
604.8,65007
604.9,65057
605.0,65111
605.1,65159
605.2,65207
605.3,65280
605.4,65356
605.5,65408
605.6,65456
605.7,65505
605.8,65557
605.9,65613
606.0,65695
606.1,65777
606.2,65836
606.3,65896
606.4,65965
606.5,66029
606.6,66124
606.7,66211
606.8,66279
606.9,66350
607.0,66415
607.1,66479
607.2,66547
607.3,66612
607.4,66695
607.5,66787
607.6,66850
607.7,66918
607.8,66981
607.9,67044
608.0,67133
608.1,67225
608.2,67294
608.3,67358
608.4,67422
