nm,INT
500.0,117
500.1,118
500.2,119
500.3,120
500.4,122
500.5,123
500.6,125
500.7,127
500.8,129
500.9,131
501.0,133
501.1,135
501.2,137
501.3,139
501.4,142
501.5,144
501.6,147
501.7,150
501.8,152
501.9,155
502.0,157
502.1,159
502.2,161
502.3,164
502.4,165
502.5,167
502.6,169
502.7,170
502.8,172
502.9,173
503.0,175
503.1,176
503.2,178
503.3,179
503.4,180
503.5,181
503.6,182
503.7,183
503.8,184
503.9,184
504.0,184
504.1,184
504.2,183
504.3,182
504.4,181
504.5,180
504.6,178
504.7,177
504.8,175
504.9,173
505.0,171
505.1,168
505.2,166
505.3,163
505.4,160
505.5,157
505.6,155
505.7,152
505.8,149
505.9,146
506.0,144
506.1,141
506.2,139
506.3,137
506.4,135
506.5,132
506.6,130
506.7,128
506.8,126
506.9,124
507.0,122
507.1,120
507.2,119
507.3,117
507.4,116
507.5,115
507.6,114
507.7,113
507.8,113
507.9,112
508.0,112
508.1,112
508.2,112
508.3,112
508.4,112
508.5,112
508.6,112
508.7,113
508.8,114
508.9,115
509.0,116
509.1,117
509.2,118
509.3,120
509.4,122
509.5,124
509.6,126
509.7,128
509.8,131
509.9,133
510.0,136
510.1,139
510.2,141
510.3,144
510.4,147
510.5,149
510.6,152
510.7,154
510.8,156
510.9,158
511.0,159
511.1,161
511.2,162
511.3,162
511.4,163
511.5,164
511.6,165
511.7,166
511.8,167
511.9,168
512.0,168
512.1,169
512.2,171
512.3,172
512.4,174
512.5,175
512.6,177
512.7,179
512.8,181
512.9,183
513.0,185
513.1,188
513.2,190
513.3,193
513.4,196
513.5,198
513.6,201
513.7,204
513.8,206
513.9,209
514.0,212
514.1,216
514.2,219
514.3,223
514.4,226
514.5,231
514.6,235
514.7,240
514.8,245
514.9,250
515.0,256
515.1,262
515.2,268
515.3,274
515.4,280
515.5,286
515.6,293
515.7,300
515.8,306
515.9,312
516.0,318
516.1,324
516.2,330
516.3,336
516.4,342
516.5,347
516.6,352
516.7,357
516.8,362
516.9,366
517.0,370
517.1,374
517.2,377
517.3,380
517.4,383
517.5,385
517.6,387
517.7,389
517.8,390
517.9,390
518.0,391
518.1,391
518.2,391
518.3,390
518.4,390
518.5,389
518.6,388
518.7,386
518.8,385
518.9,383
519.0,380
519.1,378
519.2,375
519.3,372
519.4,368
519.5,364
519.6,360
519.7,356
519.8,351
519.9,347
520.0,342
520.1,337
520.2,331
520.3,325
520.4,320
520.5,314
520.6,309
520.7,303
520.8,297
520.9,292
521.0,287
521.1,282
521.2,277
521.3,273
521.4,269
521.5,265
521.6,261
521.7,257
521.8,254
521.9,251
522.0,248
522.1,246
522.2,243
522.3,241
522.4,238
522.5,236
522.6,235
522.7,233
522.8,232
522.9,231
523.0,230
523.1,229
523.2,229
523.3,228
523.4,228
523.5,228
523.6,229
523.7,229
523.8,230
523.9,231
524.0,232
524.1,234
524.2,235
524.3,237
524.4,239
524.5,242
524.6,244
524.7,247
524.8,250
524.9,253
525.0,256
525.1,260
525.2,264
525.3,268
525.4,273
525.5,277
525.6,282
525.7,287
525.8,292
525.9,296
526.0,302
526.1,307
526.2,312
526.3,318
526.4,323
526.5,329
526.6,336
526.7,343
526.8,351
526.9,359
527.0,368
527.1,377
527.2,387
527.3,397
527.4,408
527.5,419
527.6,431
527.7,443
527.8,456
527.9,469
528.0,483
528.1,497
528.2,511
528.3,525
528.4,540
528.5,555
528.6,571
528.7,586
528.8,602
528.9,618
529.0,634
529.1,651
529.2,668
529.3,685
529.4,703
529.5,721
529.6,740
529.7,759
529.8,778
529.9,797
530.0,816
530.1,836
530.2,856
530.3,876
530.4,896
530.5,916
530.6,936
530.7,956
530.8,976
530.9,996
531.0,1016
531.1,1036
531.2,1055
531.3,1074
531.4,1092
531.5,1110
531.6,1128
531.7,1145
531.8,1161
531.9,1178
532.0,1194
532.1,1210
532.2,1225
532.3,1240
532.4,1255
532.5,1270
532.6,1286
532.7,1301
532.8,1315
532.9,1329
533.0,1343
533.1,1358
533.2,1372
533.3,1386
533.4,1400
533.5,1414
533.6,1428
533.7,1441
533.8,1455
533.9,1469
534.0,1482
534.1,1495
534.2,1508
534.3,1521
534.4,1532
534.5,1544
534.6,1556
534.7,1567
534.8,1579
534.9,1591
535.0,1604
535.1,1616
535.2,1629
535.3,1642
535.4,1655
535.5,1669
535.6,1683
535.7,1697
535.8,1711
535.9,1726
536.0,1739
536.1,1754
536.2,1770
536.3,1785
536.4,1801
536.5,1817
536.6,1834
536.7,1851
536.8,1868
536.9,1885
537.0,1902
537.1,1919
537.2,1936
537.3,1953
537.4,1970
537.5,1986
537.6,2001
537.7,2017
537.8,2034
537.9,2051
538.0,2067
538.1,2083
538.2,2099
538.3,2115
538.4,2131
538.5,2147
538.6,2163
538.7,2178
538.8,2194
538.9,2209
539.0,2225
539.1,2241
539.2,2256
539.3,2272
539.4,2288
539.5,2304
539.6,2321
539.7,2337
539.8,2353
539.9,2368
540.0,2383
540.1,2397
540.2,2412
540.3,2426
540.4,2440
540.5,2453
540.6,2467
540.7,2481
540.8,2495
540.9,2509
541.0,2523
541.1,2538
541.2,2552
541.3,2567
541.4,2582
541.5,2597
541.6,2612
541.7,2627
541.8,2642
541.9,2658
542.0,2674
542.1,2690
542.2,2705
542.3,2721
542.4,2739
542.5,2756
542.6,2773
542.7,2790
542.8,2806
542.9,2823
543.0,2840
543.1,2858
543.2,2876
543.3,2893
543.4,2911
543.5,2929
543.6,2948
543.7,2967
543.8,2984
543.9,3003
544.0,3021
544.1,3039
544.2,3058
544.3,3076
544.4,3093
544.5,3110
544.6,3127
544.7,3144
544.8,3162
544.9,3180
545.0,3197
545.1,3215
545.2,3232
545.3,3249
545.4,3267
545.5,3285
545.6,3303
545.7,3321
545.8,3339
545.9,3358
546.0,3377
546.1,3396
546.2,3414
546.3,3433
546.4,3453
546.5,3472
546.6,3493
546.7,3513
546.8,3533
546.9,3552
547.0,3572
547.1,3592
547.2,3613
547.3,3633
547.4,3653
547.5,3674
547.6,3696
547.7,3719
547.8,3743
547.9,3768
548.0,3793
548.1,3819
548.2,3845
548.3,3874
548.4,3904
548.5,3933
548.6,3961
548.7,3990
548.8,4019
548.9,4049
549.0,4081
549.1,4113
549.2,4144
549.3,4176
549.4,4209
549.5,4241
549.6,4276
549.7,4311
549.8,4345
549.9,4381
550.0,4417
550.1,4454
550.2,4493
550.3,4532
550.4,4572
550.5,4613
550.6,4655
550.7,4697
550.8,4741
550.9,4785
551.0,4828
551.1,4871
551.2,4915
551.3,4959
551.4,5004
551.5,5049
551.6,5094
551.7,5139
551.8,5185
551.9,5232
552.0,5282
552.1,5332
552.2,5382
552.3,5433
552.4,5484
552.5,5536
552.6,5589
552.7,5645
552.8,5701
552.9,5754
553.0,5808
553.1,5862
553.2,5916
553.3,5971
553.4,6028
553.5,6083
553.6,6139
553.7,6195
553.8,6253
553.9,6312
554.0,6372
554.1,6431
554.2,6490
554.3,6551
554.4,6615
554.5,6679
554.6,6742
554.7,6806
554.8,6870
554.9,6935
555.0,7000
555.1,7066
555.2,7133
555.3,7198
555.4,7262
555.5,7326
555.6,7392
555.7,7457
555.8,7522
555.9,7586
556.0,7651
556.1,7717
556.2,7784
556.3,7853
556.4,7924
556.5,7993
556.6,8064
556.7,8135
556.8,8207
556.9,8281
557.0,8357
557.1,8431
557.2,8511
557.3,8586
557.4,8661
557.5,8740
557.6,8818
557.7,8895
557.8,8972
557.9,9050
558.0,9129
558.1,9212
558.2,9295
558.3,9377
558.4,9460
558.5,9545
558.6,9630
558.7,9720
558.8,9811
558.9,9901
559.0,9992
559.1,10085
559.2,10179
559.3,10276
559.4,10375
559.5,10472
559.6,10569
559.7,10668
559.8,10768
559.9,10872
560.0,10976
560.1,11079
560.2,11183
560.3,11287
560.4,11393
560.5,11503
560.6,11613
560.7,11721
560.8,11829
560.9,11937
561.0,12046
561.1,12157
561.2,12269
561.3,12378
561.4,12486
561.5,12594
561.6,12710
561.7,12820
561.8,12931
561.9,13044
562.0,13152
562.1,13260
562.2,13368
562.3,13476
562.4,13587
562.5,13701
562.6,13810
562.7,13919
562.8,14029
562.9,14142
563.0,14254
563.1,14363
563.2,14471
563.3,14579
563.4,14687
563.5,14795
563.6,14905
563.7,15016
563.8,15121
563.9,15226
564.0,15331
564.1,15440
564.2,15547
564.3,15650
564.4,15753
564.5,15856
564.6,15959
564.7,16061
564.8,16167
564.9,16274
565.0,16377
565.1,16479
565.2,16582
565.3,16686
565.4,16793
565.5,16902
565.6,17006
565.7,17112
565.8,17218
565.9,17333
566.0,17450
566.1,17563
566.2,17673
566.3,17783
566.4,17895
566.5,18007
566.6,18126
566.7,18245
566.8,18361
566.9,18477
567.0,18595
567.1,18713
567.2,18837
567.3,18963
567.4,19084
567.5,19206
567.6,19329
567.7,19453
567.8,19584
567.9,19715
568.0,19843
568.1,19972
568.2,20102
568.3,20234
