nm,INT
500.0,60
500.1,59
500.2,58
500.3,57
500.4,55
500.5,54
500.6,53
500.7,52
500.8,51
500.9,50
501.0,50
501.1,49
501.2,49
501.3,49
501.4,49
501.5,49
501.6,50
501.7,51
501.8,52
501.9,52
502.0,53
502.1,54
502.2,55
502.3,55
502.4,56
502.5,56
502.6,56
502.7,56
502.8,56
502.9,56
503.0,56
503.1,55
503.2,55
503.3,55
503.4,55
503.5,55
503.6,55
503.7,55
503.8,55
503.9,55
504.0,56
504.1,57
504.2,58
504.3,59
504.4,60
504.5,61
504.6,62
504.7,63
504.8,64
504.9,65
505.0,66
505.1,67
505.2,67
505.3,68
505.4,68
505.5,68
505.6,68
505.7,68
505.8,68
505.9,68
506.0,68
506.1,67
506.2,67
506.3,66
506.4,66
506.5,65
506.6,64
506.7,64
506.8,63
506.9,62
507.0,61
507.1,61
507.2,61
507.3,61
507.4,61
507.5,61
507.6,61
507.7,61
507.8,61
507.9,62
508.0,62
508.1,62
508.2,63
508.3,64
508.4,64
508.5,65
508.6,66
508.7,67
508.8,69
508.9,70
509.0,72
509.1,74
509.2,76
509.3,79
509.4,81
509.5,84
509.6,87
509.7,90
509.8,94
509.9,97
510.0,101
510.1,105
510.2,109
510.3,113
510.4,117
510.5,121
510.6,124
510.7,128
510.8,132
510.9,135
511.0,138
511.1,140
511.2,143
511.3,145
511.4,147
511.5,149
511.6,151
511.7,153
511.8,154
511.9,156
512.0,157
512.1,159
512.2,160
512.3,161
512.4,162
512.5,163
512.6,164
512.7,165
512.8,166
512.9,167
513.0,167
513.1,168
513.2,168
513.3,169
513.4,169
513.5,169
513.6,169
513.7,168
513.8,168
513.9,167
514.0,165
514.1,164
514.2,163
514.3,162
514.4,161
514.5,160
514.6,160
514.7,159
514.8,159
514.9,159
515.0,159
515.1,160
515.2,161
515.3,162
515.4,164
515.5,166
515.6,168
515.7,170
515.8,172
515.9,175
516.0,177
516.1,180
516.2,183
516.3,186
516.4,190
516.5,193
516.6,197
516.7,200
516.8,204
516.9,208
517.0,211
517.1,215
517.2,219
517.3,223
517.4,227
517.5,231
517.6,235
517.7,240
517.8,244
517.9,248
518.0,253
518.1,257
518.2,261
518.3,266
518.4,270
518.5,275
518.6,279
518.7,283
518.8,286
518.9,290
519.0,293
519.1,296
519.2,299
519.3,302
519.4,304
519.5,307
519.6,309
519.7,311
519.8,313
519.9,314
520.0,316
520.1,317
520.2,318
520.3,319
520.4,319
520.5,320
520.6,320
520.7,321
520.8,321
520.9,322
521.0,322
521.1,323
521.2,324
521.3,325
521.4,326
521.5,327
521.6,328
521.7,330
521.8,332
521.9,334
522.0,336
522.1,339
522.2,341
522.3,344
522.4,347
522.5,351
522.6,354
522.7,358
522.8,362
522.9,366
523.0,370
523.1,375
523.2,379
523.3,384
523.4,389
523.5,394
523.6,398
523.7,404
523.8,410
523.9,416
524.0,423
524.1,430
524.2,437
524.3,445
524.4,454
524.5,462
524.6,471
524.7,481
524.8,490
524.9,500
525.0,510
525.1,521
525.2,531
525.3,542
525.4,553
525.5,565
525.6,577
525.7,589
525.8,601
525.9,613
526.0,625
526.1,638
526.2,650
526.3,663
526.4,677
526.5,691
526.6,705
526.7,719
526.8,733
526.9,749
527.0,764
527.1,780
527.2,797
527.3,813
527.4,829
527.5,846
527.6,862
527.7,878
527.8,894
527.9,910
528.0,926
528.1,942
528.2,957
528.3,972
528.4,987
528.5,1002
528.6,1018
528.7,1033
528.8,1048
528.9,1063
529.0,1077
529.1,1092
529.2,1107
529.3,1121
529.4,1135
529.5,1149
529.6,1163
529.7,1176
529.8,1189
529.9,1201
530.0,1214
530.1,1226
530.2,1238
530.3,1250
530.4,1262
530.5,1274
530.6,1286
530.7,1298
530.8,1310
530.9,1322
531.0,1334
531.1,1346
531.2,1359
531.3,1372
531.4,1384
531.5,1397
531.6,1410
531.7,1424
531.8,1437
531.9,1451
532.0,1466
532.1,1480
532.2,1495
532.3,1511
532.4,1527
532.5,1543
532.6,1561
532.7,1578
532.8,1596
532.9,1613
533.0,1633
533.1,1653
533.2,1674
533.3,1695
533.4,1716
533.5,1738
533.6,1761
533.7,1784
533.8,1807
533.9,1831
534.0,1855
534.1,1880
534.2,1904
534.3,1929
534.4,1954
534.5,1979
534.6,2005
534.7,2032
534.8,2059
534.9,2087
535.0,2115
535.1,2144
535.2,2172
535.3,2200
535.4,2229
535.5,2257
535.6,2285
535.7,2312
535.8,2339
535.9,2366
536.0,2390
536.1,2415
536.2,2441
536.3,2466
536.4,2490
536.5,2514
536.6,2538
536.7,2562
536.8,2585
536.9,2608
537.0,2630
537.1,2652
537.2,2674
537.3,2697
537.4,2719
537.5,2741
537.6,2761
537.7,2782
537.8,2803
537.9,2825
538.0,2845
538.1,2865
538.2,2885
538.3,2905
538.4,2925
538.5,2945
538.6,2964
538.7,2984
538.8,3004
538.9,3024
539.0,3045
539.1,3066
539.2,3085
539.3,3106
539.4,3128
539.5,3149
539.6,3171
539.7,3194
539.8,3216
539.9,3238
540.0,3260
540.1,3284
540.2,3308
540.3,3331
540.4,3356
540.5,3381
540.6,3406
540.7,3432
540.8,3457
540.9,3484
541.0,3511
541.1,3539
541.2,3566
541.3,3595
541.4,3623
541.5,3652
541.6,3680
541.7,3708
541.8,3737
541.9,3766
542.0,3795
542.1,3823
542.2,3849
542.3,3877
542.4,3907
542.5,3936
542.6,3965
542.7,3994
542.8,4024
542.9,4054
543.0,4085
543.1,4117
543.2,4150
543.3,4182
543.4,4215
543.5,4248
543.6,4283
543.7,4317
543.8,4349
543.9,4383
544.0,4419
544.1,4454
544.2,4492
544.3,4530
544.4,4567
544.5,4605
544.6,4644
544.7,4684
544.8,4726
544.9,4769
545.0,4811
545.1,4854
545.2,4897
545.3,4939
545.4,4983
545.5,5030
545.6,5076
545.7,5123
545.8,5172
545.9,5222
546.0,5273
546.1,5325
546.2,5377
546.3,5431
546.4,5485
546.5,5541
546.6,5598
546.7,5657
546.8,5715
546.9,5775
547.0,5835
547.1,5898
547.2,5961
547.3,6024
547.4,6088
547.5,6153
547.6,6218
547.7,6284
547.8,6351
547.9,6419
548.0,6485
548.1,6552
548.2,6620
548.3,6693
548.4,6765
548.5,6836
548.6,6906
548.7,6977
548.8,7049
548.9,7122
549.0,7197
549.1,7273
549.2,7347
549.3,7421
549.4,7496
549.5,7572
549.6,7650
549.7,7728
549.8,7805
549.9,7883
550.0,7961
550.1,8041
550.2,8123
550.3,8206
550.4,8287
550.5,8369
550.6,8451
550.7,8534
550.8,8620
550.9,8706
551.0,8790
551.1,8875
551.2,8961
551.3,9047
551.4,9136
551.5,9226
551.6,9315
551.7,9404
551.8,9493
551.9,9584
552.0,9678
552.1,9773
552.2,9866
552.3,9960
552.4,10055
552.5,10151
552.6,10252
552.7,10358
552.8,10466
552.9,10569
553.0,10673
553.1,10779
553.2,10885
553.3,10994
553.4,11105
553.5,11214
553.6,11323
553.7,11433
553.8,11542
553.9,11654
554.0,11767
554.1,11878
554.2,11989
554.3,12101
554.4,12217
554.5,12332
554.6,12446
554.7,12560
554.8,12676
554.9,12792
555.0,12909
555.1,13030
555.2,13153
555.3,13272
555.4,13393
555.5,13513
555.6,13639
555.7,13763
555.8,13885
555.9,14007
556.0,14130
556.1,14253
556.2,14376
556.3,14502
556.4,14631
556.5,14755
556.6,14880
556.7,15007
556.8,15133
556.9,15263
557.0,15395
557.1,15523
557.2,15663
557.3,15792
557.4,15921
557.5,16056
557.6,16191
557.7,16322
557.8,16454
557.9,16587
558.0,16720
558.1,16860
558.2,17000
558.3,17136
558.4,17274
558.5,17412
558.6,17552
558.7,17699
558.8,17847
558.9,17992
559.0,18138
559.1,18287
559.2,18438
559.3,18596
559.4,18756
559.5,18913
559.6,19071
559.7,19230
559.8,19390
559.9,19557
560.0,19725
560.1,19889
560.2,20053
560.3,20218
560.4,20384
560.5,20557
560.6,20733
560.7,20903
560.8,21076
560.9,21250
561.0,21426
