s.1,,Sample 6,,Sample 10,,Blank,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
800,0.0391306029990005,800,0.0402470582395829,800,0.972221390278075,800,0.0430359977121774
799,0.0392070916543646,799,0.0400777731140199,799,0.971882393080653,799,0.043438368595127
798,0.0394019719670928,798,0.0399754446883994,798,0.973167174224105,798,0.0432746129069184
797,0.0389913998893324,797,0.0397186086390489,797,0.971381284730286,797,0.0433983750448742
796,0.0387337865219459,796,0.0393595709006163,796,0.971470691339657,796,0.0434446054034351
795,0.03963493990365,795,0.0400670707877298,795,0.969287756633537,795,0.0437015081166449
794,0.0399462124232987,794,0.0401950333783782,794,0.969490038231521,794,0.0438078680166715
793,0.0400078862918313,793,0.0404061816716663,793,0.970353114793267,793,0.0438927169444602
792,0.0398526540213968,792,0.0406567161143515,792,0.96796094082972,792,0.0442079170566868
791,0.0402913069941143,791,0.0408763083386519,791,0.966206107823779,791,0.0442383547732064
790,0.0403020432509019,790,0.0409626060838039,790,0.965798792539401,790,0.0445663977671528
789,0.0399110227918783,789,0.0409608139655029,789,0.965263577363253,789,0.044408524281666
788,0.0399107673936855,788,0.0405171651486273,788,0.963248080632122,788,0.0450544620168881
787,0.0401616691847345,787,0.0409928171911246,787,0.960146048540789,787,0.044446861757524
786,0.0404697393990128,786,0.0407879804172563,786,0.959287090850183,786,0.0445769820752074
785,0.0404638861304851,785,0.0410274686757504,785,0.956648906501039,785,0.0444883572148928
784,0.040715932242712,784,0.0413311715111231,784,0.957736099240263,784,0.0446065850868628
783,0.0405532280973169,783,0.0412788173580113,783,0.952197683183637,783,0.0449219881452805
782,0.0408510821447064,782,0.041162487900074,782,0.951300599532168,782,0.0448255723476237
781,0.041055322735496,781,0.0412595740244926,781,0.948916782695632,781,0.0450468524323437
780,0.0410649397716094,780,0.0415429300067153,780,0.94711830190492,780,0.0452436820327062
779,0.040756845268337,779,0.0417176600852736,779,0.945778131951002,779,0.0454035837818605
778,0.0413766413314106,778,0.0421070598329811,778,0.944532008430815,778,0.0453343001624669
777,0.0413125806514528,777,0.0419096222563218,777,0.941794115323051,777,0.0454510340638085
776,0.0413346449299524,776,0.0421951429769684,776,0.938161685424672,776,0.0454325246756928
775,0.0414534981439432,775,0.041877294845051,775,0.937177812911024,775,0.0454875090645082
774,0.0414070236327722,774,0.042297310993547,774,0.934226149584561,774,0.0462108005322889
