Sample 1,,Sample 2,,Sample 3,,Sample 4,,Sample 5,,Sample 0,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
800,0.0565184758601641,800,0.0649294172563054,800,0.0620797185055154,800,0.0785812822133978,800,0.0849369943830491,800,0.0501402060523855
799,0.0560612465869635,799,0.065304100564967,799,0.0621080003841159,799,0.0794963511501574,799,0.0855120927441232,799,0.0501630139724423
798,0.0560983586214392,798,0.0657544849646188,798,0.062670376719949,798,0.0793997475139158,798,0.0861021879649393,798,0.0502527173735708
797,0.0560802145639158,797,0.065571619899191,797,0.0631633310311985,797,0.0803686522520673,797,0.0863951835451222,797,0.0501300663553586
796,0.0563195060546875,796,0.0658627106211942,796,0.0629466913535327,796,0.0804080253718415,796,0.0876412627316722,796,0.0499300808914736
795,0.0569481192992079,795,0.0660187259164757,795,0.0639231118486569,795,0.0808022336341587,795,0.0878876311914402,795,0.0501044712104608
794,0.0570296121831192,794,0.0664784803029456,794,0.0639102759914157,794,0.0812455803567479,794,0.0882799673283512,794,0.0497640627164368
793,0.0572709042402188,793,0.0674851371237159,793,0.0646609712565608,793,0.0826024809762574,793,0.0895595969476373,793,0.0502111905609764
792,0.0573653670826541,792,0.0672673589442351,792,0.0654763184961969,792,0.0825748987692497,792,0.0903731214147039,792,0.0506616008262223
791,0.0577655998971743,791,0.0674746447492692,791,0.0660053156796643,791,0.0841348368774847,791,0.0912310620511235,791,0.0511299504695917
790,0.0586729413657891,790,0.0686681966317065,790,0.0665583718482506,790,0.0850105322479833,790,0.0917301423335222,790,0.051007109716751
789,0.0583210157087853,789,0.0691864360264592,789,0.0665297081607372,789,0.0845516908433189,789,0.0922129595416945,789,0.0508331423482022
788,0.0583991836081773,788,0.0686456995974975,788,0.066917280629273,788,0.0853633786512681,788,0.0930273372465089,788,0.0508534839385619
787,0.0586589856766835,787,0.0690876067008115,787,0.0675316755229915,787,0.0860537112055127,787,0.0941782305766932,787,0.0510161054071968
786,0.0586038191687039,786,0.0696736872812947,786,0.0680924938475402,786,0.086239947041515,786,0.0942591389996842,786,0.0506454859221936
785,0.0588993469136389,785,0.0698962636796957,785,0.0685624222018322,785,0.0871076270237749,785,0.0955132801594399,785,0.0509543329305703
784,0.0590925918408017,784,0.070167418667157,784,0.0690754974057077,784,0.0882773345084102,784,0.0964099188110504,784,0.0514824187703419
783,0.0595349145802839,783,0.0711013160930921,783,0.0699922055129412,783,0.0886357351028007,783,0.0970758054479097,783,0.051097337069244
782,0.0597471555534049,782,0.0712007877662545,782,0.0701644978685913,782,0.0895475076362414,782,0.098026608236647,782,0.0511369684946962
781,0.0600962259851836,781,0.0716356262215474,781,0.0709422453651767,781,0.0899912467389677,781,0.0988083876454745,781,0.0511682160992256
780,0.0602772456647582,780,0.0716915268043689,780,0.0714544185901931,780,0.0905321383897355,780,0.0995099945237803,780,0.0515609976822634
779,0.0608661705943961,779,0.0724424090502591,779,0.0718042046788622,779,0.0913621836384369,779,0.100371092864998,779,0.0518643418677594
778,0.0610590415315068,778,0.0728367660150734,778,0.0726544446274272,778,0.092118286090947,778,0.101315612690355,778,0.0517912201256521
777,0.0610021394212561,777,0.0735038996135572,777,0.07296499079584,777,0.0927734533544574,777,0.101904024285703,777,0.0517377647516446
776,0.0613555893975078,776,0.0736122952824849,776,0.0735508421959008,776,0.0936404570141211,776,0.10287593294169,776,0.0523140472088585
775,0.0612710749785331,775,0.0738441412336701,775,0.0742330171386033,775,0.0942108043731363,775,0.10375639311266,775,0.0521284351548109
774,0.0621215297481482,774,0.0745259476345635,774,0.074955177941383,774,0.0954697400322098,774,0.104944022722483,774,0.0524153820063137
773,0.0619110510193818,773,0.0749942171256898,773,0.0754278833678261,773,0.095644797846994,773,0.105726015410587,773,0.052180741817163
772,0.0626736363095216,772,0.0756386397536933,772,0.0764643527215112,772,0.0970593295244718,772,0.106545709671281,772,0.0524382221047042
771,0.0625055750540147,771,0.0757127768796931,771,0.0765705874609383,771,0.097930561766863,771,0.108053121128369,771,0.0524183610814625
770,0.0629945115979568,770,0.0758927800017657,770,0.0773968075411981,770,0.0981070038814651,770,0.109029155350682,770,0.0520093384088522
