Sample 0,,Sample 1,,Sample 2,,Sample 3,,Sample 4,,Sample 5,,Sample 6,,Sample 7,,Sample 8,,Sample 9,,Sample 10,,blank,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
800,0.0496368773173537,800,0.0603788198050305,800,0.0710997915666073,800,0.0795387230374221,800,0.0843671833730602,800,0.0865420714355649,800,0.0808613224664245,800,0.0787511204245828,800,0.0681925507318875,800,0.0696984866520269,800,0.0744879645839613,800,0.0495242062660858
799,0.0496149095364611,799,0.0608413940049862,799,0.0713688923918629,799,0.0799096457196047,799,0.0845704981537842,799,0.0872933343350713,799,0.0818577817154404,799,0.0793650338880003,799,0.0686175344683928,799,0.0701815969893069,799,0.0742169247440054,799,0.0494804282605115
798,0.0495130655200131,798,0.0606569540970091,798,0.0715111503936075,798,0.08096467709205,798,0.0852103373035398,798,0.08841959309228,798,0.0817391219561544,798,0.0796718965325272,798,0.0684260054701477,798,0.0703200272900766,798,0.0744871348942028,798,0.0493524558473065
797,0.0495138198323418,797,0.0604900878532908,797,0.0718036549597324,797,0.0813534595445295,797,0.0861034820150882,797,0.0879664567839726,797,0.0823625024594635,797,0.0792808252515426,797,0.0691782398647674,797,0.0703781939615844,797,0.0740562484766179,797,0.0494367416880876
796,0.0498082467359829,796,0.0605995391604452,796,0.0724954464759133,796,0.0816671981115251,796,0.0863302212426867,796,0.0886969790255071,796,0.0831471891297404,796,0.0809136516379012,796,0.0689149521784597,796,0.070133191792617,796,0.0748964873321034,796,0.0493465686313704
795,0.0496351941455602,795,0.0611460774528657,795,0.0727414792336256,795,0.0828057855063355,795,0.0874065569810358,795,0.0899194079772939,795,0.083348553479492,795,0.0808863947749117,795,0.0693329001916426,795,0.0706595188992485,795,0.0749425963200403,795,0.0494059374641732
794,0.0499733814790679,794,0.0617802586396322,794,0.0733900136530787,794,0.0835178821547356,794,0.0880182225850988,794,0.0904389782385963,794,0.0840152707257091,794,0.0821202483630909,794,0.0702161319639333,794,0.0715110283161443,794,0.0750119381971315,794,0.0495513050029062
793,0.0502299338020965,793,0.062060128336716,793,0.0742152049813769,793,0.0848426977752949,793,0.089465722740091,793,0.0911652766079617,793,0.0845478540004088,793,0.0820112405714533,793,0.0707101761378232,793,0.0712506846531687,793,0.0753915457764298,793,0.0499207011184617
792,0.0501024376086975,792,0.0625199837352319,792,0.0746476325391146,792,0.0849525760672998,792,0.0902084593090798,792,0.0919291290354902,792,0.0858215648704719,792,0.0825121643815196,792,0.0708009352990325,792,0.0717647488287009,792,0.0755892528403552,792,0.0502277252541238
791,0.0505602381388358,791,0.0627354834335662,791,0.075292033294961,791,0.0852159438775343,791,0.0904982451665407,791,0.0928492278803315,791,0.0867554158428943,791,0.0832396445983083,791,0.0715616018427034,791,0.0721758518589142,791,0.076046920727776,791,0.0505475003983898
790,0.0511997863257942,790,0.0633377568964917,790,0.0756760456826498,790,0.0861775649241797,790,0.0914801789912009,790,0.0936583774278288,790,0.0869411306910264,790,0.0837582803819651,790,0.0717137547044249,790,0.0719859249792119,790,0.0760923192634723,790,0.0506003441040237
789,0.0505638152427252,789,0.0630777158123385,789,0.0764353364161208,789,0.0866422679989751,789,0.091703988534361,789,0.0937319937664738,789,0.0869570058177499,789,0.084496091384181,789,0.0725327356025664,789,0.0725794203514139,789,0.0758405899102771,789,0.0505917060306297
788,0.0506143922468582,788,0.0634421464760559,788,0.0767056644334684,788,0.0876522221437429,788,0.0927486788500631,788,0.0946581131066496,788,0.0874496760762498,788,0.0845333875205144,788,0.0723143995971619,788,0.0730035146126516,788,0.075739032961387,788,0.050515570444542
787,0.0505948180440063,787,0.0638655034122952,787,0.077186000362101,787,0.0887820173090377,787,0.0939374917710518,787,0.0957189130436811,787,0.0882953204758023,787,0.0855066399401546,787,0.0727274619337653,787,0.0723998369796804,787,0.0759243807132666,787,0.0503473517326735
786,0.0504220914090542,786,0.0640534712709864,786,0.0777956292091706,786,0.0889372439939957,786,0.0944349641880474,786,0.0967051027307072,786,0.0886946929385399,786,0.0856265859176385,786,0.0734984422160449,786,0.0728602465661601,786,0.0766863916237752,786,0.0507258918638305
785,0.0505556722848062,785,0.0644916288278284,785,0.0777710443200181,785,0.0899458684791774,785,0.0953394037601886,785,0.0970028823767863,785,0.0892807058642397,785,0.0860695539261832,785,0.0741661024894833,785,0.0729034149071548,785,0.07610394723337,785,0.0506263757009198
784,0.0509396625307684,784,0.0647640868208051,784,0.0785601268984841,784,0.090658902720326,784,0.096162158035324,784,0.098172421488764,784,0.0905932995529803,784,0.0877097794344735,784,0.0740726726173586,784,0.0736647396730444,784,0.0766683550253622,784,0.0504684940389237
783,0.0513681899253581,783,0.0653304569473792,783,0.0794850982695617,783,0.0919315921550962,783,0.0975536848949151,783,0.0988977371640548,783,0.0917288314087843,783,0.0877656334541663,783,0.0748498296505738,783,0.0742427527126102,783,0.0768907763755426,783,0.0509100903740095
782,0.0511249709437966,782,0.0658456602031346,782,0.080274065445026,782,0.0924471393334903,782,0.0983965255189478,782,0.099653636619475,782,0.0923822581811411,782,0.088226521038271,782,0.0750616902779485,782,0.0742219919413439,782,0.0772194579328644,782,0.0509719729960326
781,0.0515150611023613,781,0.0659677993516645,781,0.0806229272015748,781,0.0936891778592776,781,0.0989349905195464,781,0.100506634994842,781,0.0923024029824736,781,0.0884019510044861,781,0.075548065430483,781,0.0743670309783407,781,0.0771049336481689,781,0.0510373581020766
780,0.0511817875205651,780,0.066196955639462,780,0.0812542571476162,780,0.0938664111049508,780,0.0998498701494552,780,0.101277272093466,780,0.0932102358593563,780,0.08927024576538,780,0.0765347407512134,780,0.0746160938499242,780,0.0769671055049605,780,0.0511422102471822
779,0.0519975793403495,779,0.06671053227112,779,0.0816831003164927,779,0.095271155662176,779,0.1009660638743,779,0.102373486720679,779,0.0936166927314315,779,0.089463114529306,779,0.0773594077804681,779,0.0751813401353759,779,0.0773383737635546,779,0.0509967168694887
778,0.0515198119319898,778,0.0672026571848414,778,0.0826772529085823,778,0.0956750619065924,778,0.101703196340339,778,0.10308347429519,778,0.0945851764309581,778,0.0902991161273954,778,0.0768824335188345,778,0.0751645354650908,778,0.0776817268078833,778,0.0510732571391406
777,0.052325581245459,777,0.06740489353402,777,0.0829694502742406,777,0.0970320760291409,777,0.103404546612147,777,0.103805538931317,777,0.0953662610539293,777,0.0911542281856422,777,0.0775624074620944,777,0.0755154448165412,777,0.0772613608366561,777,0.0517868746258834
776,0.0515624259913767,776,0.0682610654418478,776,0.0834747124432279,776,0.0975834989352405,776,0.103630447415567,776,0.104803068785884,776,0.0962817557236295,776,0.0918421930607062,776,0.0780923057503397,776,0.0756493928580018,776,0.0778740996133837,776,0.0520572241570473
775,0.0522410832758003,775,0.0686733207822287,775,0.0845153365453051,775,0.0981878038451712,775,0.104292794242832,775,0.105576257905668,775,0.0974002721731637,775,0.0922516926287204,775,0.0786408762576518,775,0.0759478438020703,775,0.0787694920011981,775,0.0515667400964037
774,0.0520005847295542,774,0.0683930972956211,774,0.0848726904370689,774,0.0992373615113551,774,0.10562478477468,774,0.106223795200406,774,0.0978387519881128,774,0.0930674900762934,774,0.0787755746538939,774,0.0763945007938447,774,0.0784224564110015,774,0.0517827624815795
773,0.0521060199421824,773,0.0692845591272992,773,0.086158340662884,773,0.0995417661989191,773,0.106816217603952,773,0.1073875712748,773,0.0985792311860434,773,0.0936117794676356,773,0.0788891745342869,773,0.0767233319270539,773,0.078498465965529,773,0.0515230180427045
772,0.0524624946766745,772,0.0692493998488197,772,0.0860629264229196,772,0.101206810053488,772,0.107812963707751,772,0.108875061583629,772,0.0992268540199012,772,0.0942625801928573,772,0.0802723526700314,772,0.0768435023064815,772,0.0790269620213728,772,0.0520402986701741
771,0.0521844198664221,771,0.0696743862637713,771,0.0876467424031375,771,0.101787842325264,771,0.109192290837329,771,0.110064683964473,771,0.100069431082658,771,0.0945311416655559,771,0.0805968728305876,771,0.0772376720562869,771,0.0782072457054419,771,0.0523438027274859
770,0.052249608240956,770,0.0698555822271101,770,0.0876410410123168,770,0.102842538712068,770,0.109743984182772,770,0.109982644430248,770,0.101041811513372,770,0.0956457980114285,770,0.0806563700904581,770,0.0770927842203646,770,0.0786011046239551,770,0.0516744025550054
769,0.0520030357419726,769,0.0704041599359145,769,0.0884822029040664,769,0.10379278349549,769,0.110731245735941,769,0.111540638290723,769,0.102051636562529,769,0.0964052970439076,769,0.081186813707063,769,0.077488510906399,769,0.0790621765629479,769,0.0516711370135018
768,0.0522248512705614,768,0.0709047877766421,768,0.0894983266966165,768,0.105103948942831,768,0.111914414586911,768,0.113257995455633,768,0.102805211070419,768,0.0973066959655529,768,0.0821398263839062,768,0.0779830340895604,768,0.0787380870070166,768,0.0520554148493768
767,0.0526247263683535,767,0.0712117670293837,767,0.0901173754364531,767,0.105919892042643,767,0.113079320755984,767,0.113639541797195,767,0.103621081827759,767,0.098119852990951,767,0.082871162559042,767,0.0782559083430216,767,0.0794411775228672,767,0.0526613413246481
766,0.0524667593119817,766,0.0720302287298772,766,0.0912006270613283,766,0.107434444499515,766,0.114837179477552,766,0.115341906429247,766,0.104800696326455,766,0.0987511603074273,766,0.0833840574682662,766,0.0788342642152083,766,0.0794227775111499,766,0.052417251227548
765,0.0528617116471176,765,0.0727181581242745,765,0.0917282558821005,765,0.108367391545744,765,0.116285890602893,765,0.116409942894471,765,0.105674670766048,765,0.0997888246925014,765,0.0839033368830238,765,0.0791741119333514,765,0.079820136212126,765,0.0527128061904706
764,0.0522581917653509,764,0.071999246183552,764,0.0912062476333929,764,0.108652533852144,764,0.115878080782004,764,0.116495981412848,764,0.105178278139672,764,0.0989559266174848,764,0.083767478413943,764,0.0784839824989961,764,0.0788628204395357,764,0.0519547183343919
763,0.0515227848702181,763,0.0717485949521643,763,0.0918924398037769,763,0.108920432393601,763,0.116959806596619,763,0.117103135431185,763,0.105566388138066,763,0.0995954187300127,763,0.0838134087036597,763,0.0788716670421443,763,0.0791848286804177,763,0.0516008755059794
